M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   before Check: InstrumentConstraints : M=1715.34mb, Malloc-M=483mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   after  Check: InstrumentConstraints : M=1715.34mb, Malloc-M=483mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   after  Check: ConstraintsProcess : M=1715.34mb, Malloc-M=483mb, Available-M=114452mb, T=0s CPU=0.01s W=(2026-04-30 04:00:29)
STATS:: after  sim build substep: M=1715.34mb, Malloc-M=491mb, Available-M=114452mb, T=0s CPU=0.02s W=(2026-04-30 04:00:29)
STATS:: before sim run substep: M=1715.34mb, Malloc-M=491mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: after  sim run substep: M=1715.34mb, Malloc-M=495mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: before sim_save_reset : M=1715.34mb, Malloc-M=495mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: after  sim_save_reset : M=1719.93mb, Malloc-M=483mb, Available-M=114449mb, T=0s CPU=0.01s W=(2026-04-30 04:00:29)
STATS:: before Check: check_fv : M=1719.93mb, Malloc-M=483mb, Available-M=114449mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   before Check: BuildFormal : M=1719.93mb, Malloc-M=483mb, Available-M=114449mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   before Check: Init : M=1719.93mb, Malloc-M=483mb, Available-M=114449mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   after  Check: Init : M=1719.93mb, Malloc-M=483mb, Available-M=114449mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   before Check: ResetSetup : M=1719.93mb, Malloc-M=483mb, Available-M=114449mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   |   before Check: EnvInstrumentation : M=1719.93mb, Malloc-M=483mb, Available-M=114449mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   |   after  Check: EnvInstrumentation : M=1719.93mb, Malloc-M=483mb, Available-M=114446mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   after  Check: ResetSetup : M=1719.93mb, Malloc-M=483mb, Available-M=114440mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   before Check: BotEotInstr : M=1719.93mb, Malloc-M=483mb, Available-M=114438mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   after  Check: BotEotInstr : M=1719.93mb, Malloc-M=483mb, Available-M=114438mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   before Check: VPSetup : M=1719.93mb, Malloc-M=483mb, Available-M=114438mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   after  Check: VPSetup : M=1719.93mb, Malloc-M=483mb, Available-M=114437mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   before Check: VPReset : M=1719.93mb, Malloc-M=483mb, Available-M=114437mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   after  Check: VPReset : M=1719.93mb, Malloc-M=483mb, Available-M=114437mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   before Check: InitApp : M=1719.93mb, Malloc-M=483mb, Available-M=114437mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   |   before Check: InitSEQ : M=1719.93mb, Malloc-M=483mb, Available-M=114437mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   |   after  Check: InitSEQ : M=1719.93mb, Malloc-M=483mb, Available-M=114443mb, T=0s CPU=0.01s W=(2026-04-30 04:00:29)
STATS:: |   |   after  Check: InitApp : M=1719.93mb, Malloc-M=483mb, Available-M=114443mb, T=0s CPU=0.01s W=(2026-04-30 04:00:29)
STATS:: |   |   before Check: FormalModel : M=1719.93mb, Malloc-M=483mb, Available-M=114443mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   before DfgBuild: Setup : M=1719.93mb, Malloc-M=483mb, Available-M=114442mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   |   before DfgBuild: ValidateNLDMOperators : M=1719.93mb, Malloc-M=483mb, Available-M=114442mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   |   after  DfgBuild: ValidateNLDMOperators : M=1719.93mb, Malloc-M=483mb, Available-M=114442mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   after  DfgBuild: Setup : M=1719.93mb, Malloc-M=483mb, Available-M=114442mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   before DfgBuild: ReuseCheck : M=1719.93mb, Malloc-M=483mb, Available-M=114442mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   after  DfgBuild: ReuseCheck : M=1719.93mb, Malloc-M=483mb, Available-M=114442mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   before DfgBuild: Flatten : M=1719.93mb, Malloc-M=483mb, Available-M=114442mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   after  DfgBuild: Flatten : M=1719.93mb, Malloc-M=492mb, Available-M=114442mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   before DfgBuild: ClockSetup : M=1719.93mb, Malloc-M=492mb, Available-M=114442mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   after  DfgBuild: ClockSetup : M=1719.93mb, Malloc-M=492mb, Available-M=114442mb, T=0s CPU=0.01s W=(2026-04-30 04:00:30)
STATS:: |   |   |   before DfgBuild: Modeling : M=1719.93mb, Malloc-M=492mb, Available-M=114440mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   after  DfgBuild: Modeling : M=1719.93mb, Malloc-M=492mb, Available-M=114439mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   before DfgBuild: FlatRemodel : M=1719.93mb, Malloc-M=492mb, Available-M=114437mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   after  DfgBuild: FlatRemodel : M=1719.93mb, Malloc-M=492mb, Available-M=114436mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   before DfgBuild: NldfgBuild : M=1719.93mb, Malloc-M=492mb, Available-M=114436mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   after  DfgBuild: NldfgBuild : M=1719.93mb, Malloc-M=492mb, Available-M=114436mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   before NldfgBuild : Print statistics M=1719.93mb, Malloc-M=492mb, Available-M=114439mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   after  NldfgBuild : Print statistics M=1719.93mb, Malloc-M=492mb, Available-M=114439mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   before NldfgBuild : Cutpoint Insertion M=1719.93mb, Malloc-M=492mb, Available-M=114439mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   after  NldfgBuild : Cutpoint Insertion M=1719.93mb, Malloc-M=492mb, Available-M=114440mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   before NldfgBuild : Compute net equivalences M=1719.93mb, Malloc-M=492mb, Available-M=114440mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   after  NldfgBuild : Compute net equivalences M=1719.93mb, Malloc-M=492mb, Available-M=114440mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   before NldfgBuild : Eliminate bidirectionals M=1719.93mb, Malloc-M=492mb, Available-M=114440mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   after  NldfgBuild : Eliminate bidirectionals M=1719.93mb, Malloc-M=492mb, Available-M=114440mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   before NldfgBuild : Remove false combo loops M=1719.93mb, Malloc-M=492mb, Available-M=114440mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   after  NldfgBuild : Remove false combo loops M=1719.93mb, Malloc-M=492mb, Available-M=114441mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   before NldfgBuild : Create dfg M=1719.93mb, Malloc-M=492mb, Available-M=114441mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   |   before NldfgBuild : Create graph function M=1719.93mb, Malloc-M=492mb, Available-M=114441mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   |   after  NldfgBuild : Create graph function M=1719.93mb, Malloc-M=492mb, Available-M=114441mb, T=0s CPU=0.01s W=(2026-04-30 04:00:30)
STATS:: |   |   |   |   before NldfgBuild : Create scopes M=1719.93mb, Malloc-M=492mb, Available-M=114441mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   |   after  NldfgBuild : Create scopes M=1719.93mb, Malloc-M=492mb, Available-M=114441mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   |   before NldfgBuild : Initial setup M=1719.93mb, Malloc-M=492mb, Available-M=114441mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   |   after  NldfgBuild : Initial setup M=1719.93mb, Malloc-M=492mb, Available-M=114441mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   |   before NldfgBuild : Create graph M=1719.93mb, Malloc-M=492mb, Available-M=114441mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   |   after  NldfgBuild : Create graph M=1719.93mb, Malloc-M=492mb, Available-M=114441mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   |   before NldfgBuild : Create terminal sinks and sources M=1719.93mb, Malloc-M=492mb, Available-M=114441mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   |   after  NldfgBuild : Create terminal sinks and sources M=1719.93mb, Malloc-M=492mb, Available-M=114441mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
STATS:: |   |   |   |   before NldfgBuild : Compute dependencies M=1719.93mb, Malloc-M=492mb, Available-M=114441mb, T=0s CPU=0s W=(2026-04-30 04:00:30)
